ID,Work Item Type,Title,Test Step,Step Action,Step Expected,Area Path,Assigned To,State
88879.0,Test Case,Add/Maintain Region,,,,SG\Elections\Java\EMS,Aden Wood <awood@gocivix.com>,Design
,,,1.0,"Pre-requirement:
- Have an existing County
- Have an existing Town","
",,,
,,,2.0,As a State User navigate to District Management > Districts > Region,Region search page is displayed,,,
,,,3.0,"Click ""ADD""",Add Region page is displayed,,,
,,,4.0,"Enter a Region name into the ""Name"" field and click ""SAVE""",Region is created,,,
,,,5.0,"In the Region Assignments section, click ""ADD"" under the ""County"" tab",Assign County page is displayed,,,
,,,6.0,"From the ""County Name"" dropdown, select your existing County",County selected,,,
,,,7.0,"Click ""SAVE""",County is assigned to the Region,,,
,,,8.0,"In the Region Assignments section, click on the ""Town"" tab and then click ""ADD""",Assign Town page is displayed,,,
,,,9.0,"From the ""Town Name"" dropdown, select your existing Town",Town selected,,,
,,,10.0,"Click ""SAVE""",Town is assigned to the Region,,,
,,,11.0,"Click ""UPDATE""",Region is successfully updated and the user is taken back to the Region search screen,,,
,,,12.0,"Search for the newly created Region by entering the Region ID or the Region name into the search criteria and clicking ""SEARCH""",Newly created Region is displayed in the results list,,,
,,,13.0,"Click on the ""Actions"" ellipsis for the newly created Region",Options are displayed,,,
,,,14.0,"Click on ""Edit""",Add/Update Region page is displayed,,,
,,,15.0,Change the Region name,Region name changed,,,
,,,16.0,"Click on the ""Actions"" ellipsis next to the assigned County",Options displayed,,,
,,,17.0,"Click ""Delete""",The County will no longer be assigned to that Region,,,
,,,18.0,"Click on the ""Town"" tab and then click on the ""Actions"" ellipsis next to the assigned Town",Options displayed,,,
,,,19.0,"Click ""Delete""",The Town will no longer be assigned to that Region,,,
,,,20.0,"Click ""UPDATE""",The Region will be updated successfully,,,
,,,21.0,"Search for the newly created Region by entering the Region ID or the new Region name into the search criteria and clicking ""SEARCH""",The updated Region is displayed in the results list when will show the newly changed Region name,,,
,,,22.0,"Click on the ""Actions"" ellipsis for the Region",Options displayed,,,
,,,23.0,"Click ""Delete""",A pop-up window will be displayed,,,
,,,24.0,"Click ""Ok""",The Region will be deleted successfully,,,
89841.0,Test Case,Add/Maintain County,,,,SG\Elections\Java\EMS,Carla Arevilca <carevilca@gocivix.com>,Design
,,,1.0,"Pre-conditions:
- Have an existing Town","
",,,
,,,2.0,Go as a state user to District Management > Districts > County,County Search page is displayed,,,
,,,3.0,"Click  on the  ""ADD"" button",Add County page is displayed,,,
,,,4.0,"Introduce a County name into the ""Name""  field ","
",,,
,,,5.0,"Click on ""SAVE""",County page is created succesfully,,,
,,,6.0,"Click ""ADD"" under the ""Town"" tab in the County  Assignments section ",Assign Town page is displayed,,,
,,,7.0,"Select your existing Town from the ""Town Name"" dropdown  "," Town is selected in the ""Town Name"" dropdown",,,
,,,8.0,"Click on ""SAVE""",Town is assigned to the County correctly,,,
,,,9.0,"Click on the ""UPDATE"" button",-County is successfully updated                                                              -User is taken back to the County search page,,,
,,,10.0,Search for the   created County  by entering the County Name into the search criteria section,Criteria is selected ,,,
,,,11.0,"Click on ""SEARCH""",The created County is displayed in the Grid,,,
,,,12.0,"Click on the ""Actions"" ellipsis for the selected County","The options (Edit,Delete) are displayed",,,
,,,13.0,"Select the ""Edit"" option",Add/Update County page is displayed,,,
,,,14.0,Change the County's name,County's name is changed,,,
,,,15.0,"Click on the ""Actions"" ellipsis next to the assigned Town","""Delete"" option is displayed",,,
,,,16.0,"Click on the ""Delete"" option",The Town is detached to the County,,,
,,,17.0,"Click on the ""UPDATE"" button",The County is updated successfully,,,
,,,18.0,Search for the   created County  by entering the County Name into the search criteria section,Criteria is selected ,,,
,,,19.0,"Click on ""SEARCH""",The updated County is displayed in the Grid,,,
,,,20.0,"Click on the ""Actions"" ellipsis for the selected County","The options (Edit,Delete) are displayed",,,
,,,21.0,"Select the ""Delete"" option",A pop-up window is displayed,,,
,,,22.0,"Select the ""OK"" button ",The selected county is deleted succesfully,,,
89842.0,Test Case,Add/Maintain Towns,,,,SG\Elections\Java\EMS,Carla Arevilca <carevilca@gocivix.com>,Design
,,,1.0,"Pre-conditions:
- Have an existing County","
",,,
,,,2.0,Go as a state user to District Management > Districts > Town,Town Search page is displayed,,,
,,,3.0,"Click  on the  ""ADD"" button",Add Town page is displayed,,,
,,,4.0,"Select your existing County from the ""County "" dropdown  ","County is selected in the ""County""  dropdown",,,
,,,5.0,"County is selected in the ""County""  dropdown","
",,,
,,,6.0,"Click on ""SAVE""",-Town  is created succesfully                                                       -User is taken back to the Town Search page,,,
,,,7.0,Search for the   created Town  by entering the Town Name into the search criteria section,Criteria is selected ,,,
,,,8.0,"Click on ""SEARCH""",The created Town  is displayed in the Grid,,,
,,,9.0,"Click on the ""Actions"" ellipsis for the selected Town","The options (Edit,Delete) are displayed",,,
,,,10.0,"Select the ""Edit"" option",Add/Update Town page is displayed,,,
,,,11.0,Change the Town's name,Town's name is changed,,,
,,,12.0,"Click on the ""UPDATE"" button",The Town is updated successfully,,,
,,,13.0,Search for the   created Town  by entering the Town Name into the search criteria section,Criteria is selected ,,,
,,,14.0,"Click on ""SEARCH""",The updated Town  is displayed in the Grid,,,
,,,15.0,"Click on the ""Actions"" ellipsis for the selected Town","The options (Edit,Delete) are displayed",,,
,,,16.0,"Select the ""Delete"" option",A pop-up window is displayed,,,
,,,17.0,"Select the ""OK"" button ",The selected town is deleted succesfully,,,
89843.0,Test Case,Add/Maintain Streets/Street Segments,,,,SG\Elections\Java\EMS,Carla Arevilca <carevilca@gocivix.com>,Design
,,,1.0,"Pre-conditions:
- Be a Region user","
",,,
,,,2.0,Go as a region user to District Management > Districts > Streets,Search Street Segments page is displayed with the Region Dropdown pre-selected,,,
,,,3.0,"Click  on the  ""ADD"" button",Add Street Segment page is displayed,,,
,,,4.0,Fill all the mandatory fields and dropdowns with valid data,"
",,,
,,,5.0,"Click on ""SAVE""",-Street  is created succesfully                                                       -User is taken back to the  Search Street Segments page,,,
,,,6.0,Search for the   created  Street  by selecting the Street Name in dropdown in the search criteria section,Criteria is selected ,,,
,,,7.0,"Click on ""SEARCH""",The created street will be displayed with a street segment ,,,
,,,8.0,"Click  on the  ""ADD"" button",Add Street Segment page is displayed,,,
,,,9.0,Fill all the mandatory fields and dropdowns with valid data,"
",,,
,,,10.0,"Click on ""SAVE""",-Street Segment  is created succesfully                                                       -User is taken back to the  Search Street Segments page,,,
,,,11.0,Search for the   created  Street  by selecting the Street Name in dropdown in the search criteria section,Criteria is selected ,,,
,,,12.0,"Click on ""SEARCH""",The created street will be displayed with the recently new street segment in  the Grid,,,
,,,13.0,"Click on the ""Actions"" ellipsis for the selected Street Segment","The options (Edit,Delete,View Voters) are displayed",,,
,,,14.0,"Select the ""Edit"" option",Add/UpdateStreets and segments page is displayed,,,
,,,15.0,Change the data of a field or dropdown(ex:Low Range),"
",,,
,,,16.0,"Click on the ""UPDATE"" button",The Street Segment is updated successfully,,,
,,,17.0,Search for the   created  Street  by selecting the Street Name in dropdown in the search criteria section,Criteria is selected ,,,
,,,18.0,"Click on ""SEARCH""",The updated Street Segment  is displayed in the Grid,,,
,,,19.0,"Click on the ""Actions"" ellipsis for the selected Street Segment","The options (Edit,Delete,View Voters) are displayed",,,
,,,20.0,"Select the ""View Voters"" option",A grid under the selected Street Segment will be displayed with the Voters Information ,,,
,,,21.0,"Select the ""Back"" button ",Voter's Grid is hidden,,,
,,,22.0,"Click on the ""Actions"" ellipsis for the selected Street Segment","The options (Edit,Delete,View Voters) are displayed",,,
,,,23.0,"Select the ""Delete"" option",A pop-up window is displayed,,,
,,,24.0,"Select the ""OK"" button ",The selected Street Segment is deleted succesfully,,,
89844.0,Test Case,Add/Maintain New Business Address,,,,SG\Elections\Java\EMS,Carla Arevilca <carevilca@gocivix.com>,Design
,,,1.0,"Pre-conditions:
- Have an existing Street with Segments
-Be a Region User","
",,,
,,,2.0,Go as a state user to District Management > Districts > Special Address,-Search Special Addresses page is displayed with the Region Dropdown pre-selected                                                             -Bussiness Address section is displayed as default,,,
,,,3.0,"Select the elements the Special Address mandatory fields(Street name, street segment)",-Region dropdown is selected by default                                    -Criteria is selected    ,,,
,,,4.0,"Click  on the  ""ADD"" button",-Add Business Address is displayed                                        -The criteria is pre-selected by default,,,
,,,5.0,Fill all the mandatory fields and dropdowns with valid data,-Business Address  is created succesfully                                                       -User is taken back to the  Search Special Addresses page,,,
,,,6.0,"Click on the ""Actions"" ellipsis for the selected Business Address","The options (Edit,Delete) are displayed",,,
