ID,Work Item Type,Title,Test Step,Step Action,Step Expected,Area Path,Assigned To,State
84781.0,Test Case,71902-Template Field Search Page,,,,SG\Elections\Java,Sujatha Yelchuri <syelchuri@gocivix.com>,Ready
,,,1.0,Navigate to System Management->Notification->Template Fields,Template Field Search Page must be displayed,,,
,,,2.0,"Verify that the following search fields are displayed on the page
 
1.Name-Text field
2.Type-Drop down
3.Status-Drop down",The user should be able to perform a search and retrieve results using the search fields ,,,
,,,3.0,"In the Name field, enter the first few characters of the existing Template field 
 Name followed by ""%"" (e.g. id%) and hit ""Search""",Only the Names beginning with those first few characters entered mut be displayed in search results,,,
,,,4.0,"Click ""Reset""","Must clear all search fields and return to the default list
",,,
,,,5.0,"In the Name search field, enter ""%"" and then any few characters of the existing Name followed by another ""%"" and then the last few characters of the name field  (e.g. %CU%E)and hit ""Search""",Only the names that finish with those characters and contain those characters entered must be displayed in search results,,,
,,,6.0,"Click ""Reset""",Must clear all search fields and return to the default list,,,
,,,7.0,"In the Name search field, enter the first few characters of the existing Name followed by ""%"" and then any few characters that the name contains, followed by another ""%"" (e.g. T%PL%)	and hit ""Search""",Only the Names that begin with those characters and contain those characters entered must be displayed,,,
,,,8.0,"Click ""Reset""",Must clear all search fields and return to the default list,,,
,,,9.0,"From the Type  search criteria dropdown select a 'Type' and click ""Search""",Corresponding records must be displayed in search results,,,
,,,10.0,"From the Status search criteria dropdown select a 'status' and click ""Search"" ",Corresponding records must be displayed in search results,,,
,,,11.0,"Verify that the grid results display the following 
Actions(Edit, Delete)Name
Source
Type
Status
Value
ADD(Button)
","1.All columns must be sortable in both ascending and descending order.
2.Actions must have Edit and Delete options",,,
,,,12.0,Verify Paging functionality,Paging must be implemented.,,,
,,,13.0,"Click ""ADD""",Must navigate to Template field-Add Page,,,
,,,14.0,"Verify that the data entered on the Add page is displayed correctly on 
Template field-Search Page",Correct Data must be displayed,,,
85044.0,Test Case,71900-Add Notification Template,,,,SG\Elections\Java,Sujatha Yelchuri <syelchuri@gocivix.com>,Ready
,,,1.0,Navigate to System Management->Notification->Notification Template,Notification Template Field Search Page must be displayed,,,
,,,2.0,"Click on Add button
 

",Notification Template Add Page must be displayed ,,,
,,,3.0,"Verify below sections are displayed under Template tab
 1.Transaction Data
 2.Configuration Data
 3.Special Data
 4.Static Data
 5.Image","The respective sections should be displayed under the ""Template"" tab",,,
,,,4.0,"Verify below fields are displayed under Configuration tab
 ","
",,,
,,,5.0,Template ID,A read-only field to uniquely identify the template,,,
,,,6.0,Owner Dropdown,Drop down must display two values 'Client' and 'Base',,,
,,,7.0,Name,"The text box must allow alphanumeric characters, as well as the symbols &, /, \ , _ , and -",,,
,,,8.0,Type,Drop down must display two values 'Full' and 'Snippet',,,
,,,9.0,Status,"Drop down must display below values
""DRAFT""
""PUBLISHED""
""INACTIVE""",,,
,,,10.0,Notification Output Path-Text box,System must allow the user to specify a file path for storing output files Ex:/notification/PRT/samples,,,
,,,11.0,Notification Runner-Text Box,"System should accept valid class names in the correct format 
Ex: com.civixapps.shared.notification.handler.sample.SamplePrintNotificationHandler",,,
,,,12.0,Short Description-Text Box,"1.Text field allows the input of up to 80 characters
2.Text field must allow 80 alphanumeric and special characters (&, /, \, _, -) 
3.The text field does not accept any input beyond the 80-character limit",,,
,,,13.0,Detailed Description-Text Box,"1.Text field must allow the input of up to 500 characters
2.Text field must allow alphanumeric and special characters (&, /, \, _, -) 
3.The text field does not accept any input beyond the 500 character limit",,,
,,,14.0,Preview-Text Box,Must allow input,,,
,,,15.0,"Enter valid data in all mandatory fields and hit ""Save""","Must Save the template data successfully.Verify the saved template is displayed in Notification Template search screen.
",,,
,,,16.0,"Enter valid data in all mandatory fields and hit ""Cancel""",Must discard the changes and return to Template search screen.,,,
,,,17.0,Verify Drag and drop functionality for transaction data ,The correct placeholder template field must be dropped without distortion or errors.,,,
,,,18.0,Verify Drag and drop functionality for Configuration data ,The correct placeholder template field must be dropped without distortion or errors.,,,
,,,19.0,Verify Drag and drop functionality for special data ,The correct placeholder template field must be dropped without distortion or errors.,,,
,,,20.0,Verify Drag and drop functionality for static data ,The correct placeholder template field must be dropped without distortion or errors.,,,
,,,21.0,Verify Drag and drop functionality for Image,Image must be dropped without distortions,,,
88086.0,Test Case,SM-Notification Run Request Search-Verify Access Restriction for Non-County Users,,,,SG\Elections\Java\EMS,Sujatha Yelchuri <syelchuri@gocivix.com>,Ready
,,,1.0,Login as State User,"
",,,
,,,2.0,Navigate to SM->Notification->Notification Run Request Search,Notification Run Request Search page must be displayed,,,
,,,3.0,Verify Add button ,Add button should not be displayed ,,,
88087.0,Test Case,SM-Notification Run Request Search-Verify Access Restriction for County Users,,,,SG\Elections\Java\EMS,Sujatha Yelchuri <syelchuri@gocivix.com>,Ready
,,,1.0,Login as County User,"
",,,
,,,2.0,Navigate to SM->Notification->Notification Run Request Search,Notification Run Request Search page must be displayed,,,
,,,3.0,Verify Add button ,Add button must be displayed ,,,
,,,4.0,Click on search button and verify the grid results,The system must display only records corresponding to the logged-in county records from other counties should not be visible,,,
90017.0,Test Case,72783-Notice to Confirm Voter Registration Address,,,,SG\Elections\Java\EMS,Sujatha Yelchuri <syelchuri@gocivix.com>,Design
,,,1.0,Login as Region User,"
",,,
,,,2.0,"Navigate to System Management-> Notification->NotificationRequest
","Notification Run Request Search Page must be displayed
",,,
,,,3.0,Select a Linked Type 'Voter' and Notification Type 'Print',The corresponding results must be displayed on the search results grid,,,
,,,4.0,"Click ""ADD"" and enter all the mandatory fields and ""SAVE""
Notification Template-Notice to Confirm Voter Registration Address
Linked Object Type-Voter
Linked Object Id-Voter Id
Notification Criteria-{""v_voter.id_voter"":"" enter voter id number ""}
Ex: {""v_voter.id_voter"":""333""}","1.User Navigates back to Notification Run Request Search Page
2.Added notification request is displayed in grid results with appropriate status 'Completed'
Note: The status starts as Pending, then transitions to In Progress, and finally to Completed ",,,
,,,5.0,"Click on the ""Actions"" ellipsis ",Options are displayed,,,
,,,6.0,"Click on ""Download""",PDF File is downloaded successfully and status is 'Viewed',,,
,,,7.0,"Check the Report to ensure that the data displayed matches the Voter details-voter’s address, name and region are displayed correctly",The data in the PDF report must align with the  voter registration data,,,
,,,8.0,Ensure the voter registrar's address and phone number on the office data page are correctly displayed in the PDF,The data in the PDF report must match,,,
90811.0,Test Case,88005-SM- Function – Notifications-Review Notification Before Generation - Update Button Behavior-Applying/Retaing Selected Notice of Action,,,,SG\Elections\Java\EMS\VM\Voter,Jorge Taveras <jtaveras@gocivix.com>,Design
,,,1.0,"Preconditions:  Logged as State User, Notifications Added before, Notification review- before generation option selected","
",,,
,,,2.0,Select a notification and click on take action,The system displays the preview action,,,
,,,3.0,Click on the preview option ,The system displays the notification preview,,,
,,,4.0,Click and select the new Notice Of Action,The system displays the Noctice Of Action selected,,,
,,,5.0,Click on the update button.,The system displays the selected Notice of Action applied to the notification.                                                               The system displays the changes on the preview.                                                                                                  The system retains the selected Notice of Action until a new one is selected.,,,
90815.0,Test Case,88005-SM- Function – Notifications-Review Notification Before Generation - Update Button Behavior-Applying/Retaing Selected Notice Sent Date,,,,SG\Elections\Java\EMS\VM\Voter,Jorge Taveras <jtaveras@gocivix.com>,Design
,,,1.0,"Preconditions:  Logged as State User, Notifications Added before, Notification review- before generation option selected","
",,,
,,,2.0,Select a notification and click on take action,The system displays the preview action,,,
,,,3.0,Click on the preview option ,The system displays the notification preview,,,
,,,4.0,Click and Select a Notice Sent Date from the available date options.,The system displays the calendar with the Sent Date available,,,
,,,5.0,Click on the update button.,The system displays the selected Sent Date applied to the notification.                                                               The system displays the changes on the preview.                                                                                                  The system retains the selected Notice Sent Date until a new one is selected.                                           The system displays a pop-up with the result of the transaction.,,,
90816.0,Test Case,88005-SM- Function – Notifications-Review Notification Before Generation - Update Button Behavior-Applying/Retaing Selected Notice Sent Date & Notice of Action,,,,SG\Elections\Java\EMS\VM\Voter,Jorge Taveras <jtaveras@gocivix.com>,Design
,,,1.0,"Preconditions:  Logged as State User, Notifications Added before, Notification review- before generation option selected","
",,,
,,,2.0,Select a notification and click on take action,The system displays the preview action,,,
,,,3.0,Click on the preview option ,The system displays the notification preview,,,
,,,4.0,Click and Select a Notice Sent Date and a Notice of Action from the available options.,The system displays the calendar with the Sent Date available and the Notice of Action selected,,,
,,,5.0,Click on the update button.,The system displays the selected Sent Date and Notice of Action applied to the notification.                                                               The system displays the changes on the preview.                                                                                                  The system retains the selected Notice Sent Date and the Notice of Action until a new one is selected.                                                                 The system displays a pop-up with the result of the transaction.,,,
90926.0,Test Case,88005-SM- Function – Notifications-Review Notification Before Generation - Update Button Behavior-Applying/Retaing Selected Notice of Action - Review Screen,,,,SG\Elections\Java\EMS\VM\Voter,Jorge Taveras <jtaveras@gocivix.com>,Design
,,,1.0,"Preconditions:  Logged as State User, Notifications Added before, Notification review- before generation option selected","
",,,
,,,2.0,Select a notification and click on take action,The system displays the preview action,,,
,,,3.0,Click and select the new Notice Of Action,The system displays the Noctice Of Action selected,,,
,,,4.0,Click on Apply Default Selected Button,The system applied the changes in all the notifications,,,
,,,5.0,Click on Preview option ,The system displays the preview notification,,,
,,,6.0,Click on the update button.,The system displays the selected Notice of Action applied to the notification.                                                               The system displays the changes on the preview.                                                                                                  The system retains the selected Notice of Action until a new one is selected.,,,
90935.0,Test Case,88005-SM- Function – Notifications-Review Notification Before Generation - Update Button Behavior-Applying/Retaing Selected Notice Sent Date - Review Screen,,,,SG\Elections\Java\EMS\VM\Voter,Jorge Taveras <jtaveras@gocivix.com>,Design
,,,1.0,"Preconditions:  Logged as State User, Notifications Added before, Notification review- before generation option selected","
",,,
