ID,Work Item Type,Title,Test Step,Step Action,Step Expected,Area Path,Assigned To,State
77254.0,Test Case,VM - Purge Voter,,,,SG\Elections\Java\EMS\VM,Aden Wood <awood@gocivix.com>,Ready
,,,1.0,"Pre-requisite:
- Have an existing Voter ","
",,,
,,,2.0,"Access the EMS system
","Dashboard displayed
",,,
,,,3.0,Navigate to Voter Management > Voter > Search,Voter Search page is displayed,,,
,,,4.0,Use the search criteria to search for that voter,Voter is displayed below,,,
,,,5.0,"Click on the ""Actions"" ellipsis",Options displayed,,,
,,,6.0,"Click ""Purge""",A pop-up box will display asking the user if they want to Purge the Voter,,,
,,,7.0,"Click ""Cancel""",The pop-up box will close and the Voter is not Purged ,,,
,,,8.0,"Click on the ""Actions"" ellipsis again",Options displayed,,,
,,,9.0,"Click ""View""",View Information page is displayed,,,
,,,10.0,Scroll down to the bottom of the page,"""Purge"" button will be present",,,
,,,11.0,"Click ""Purge""","A pop-up box will display asking the user if they want to Purge the Voter
",,,
,,,12.0,"Click ""Ok""",A success notification will be displayed and the user is taken back to the Search Voter page,,,
,,,13.0,Use the search criteria to search for that Voter again,Page will display no results,,,
77309.0,Test Case,77170 - VM - Edit Voter - Unable to edit any voter,,,,SG\Elections\Java,Aden Wood <awood@gocivix.com>,Ready
,,,1.0,"Pre-requisite:
- Have an existing Voter
","
",,,
,,,2.0,"Access the EMS system
","Dashboard displayed
",,,
,,,3.0,"Navigate to Voter Management > Voter > Search
","Voter Search page is displayed
",,,
,,,4.0,"Use the search criteria to search for that voter
","Voter is displayed below
",,,
,,,5.0,"Click on the ""Actions"" ellipsis
","Options displayed
",,,
,,,6.0,"Click ""Edit""",Voter Registration page is displayed,,,
,,,7.0,Make no changes to the voter,No changes made,,,
,,,8.0,"Scroll down to the bottom and click ""NEXT""",The Review screen is displayed,,,
,,,9.0,Check page,There are no changes between Voter Details and Updated Voter Details,,,
,,,10.0,"Select a Change Reason and click ""UPDATE REGISTRATION""",A success notification is displayed and the user is taken to the Final Screen,,,
,,,11.0,Check page,No changes have been made to the Voter's details,,,
,,,12.0,"Navigate to Voter Management > Voter > Search
","Voter Search page is displayed
",,,
,,,13.0,"Use the search criteria to search for that same voter
","Voter is displayed below
",,,
,,,14.0,"Click on the ""Actions"" ellipsis
","Options displayed
",,,
,,,15.0,"Click ""Edit""
","Voter Registration page is displayed
",,,
